year	3	4	5	6	sample	ESS
1975	0.06	0.67	0.26	0.01	25	11
1976	0	0.46	0.54	0	116	49
1977	0.03	0.9	0.07	0	220	93
1978	0.02	0.57	0.4	0.01	593	250
1979	0.05	0.62	0.33	0	198	83
1980	0.06	0.79	0.15	0	419	177
1981	0.04	0.67	0.29	0	176	74
1982	0.02	0.65	0.33	0	135	57
1983	0.02	0.56	0.41	0.01	173	73
1984	0.04	0.62	0.34	0	149	63
1985	0	0.52	0.48	0	238	100
1986	0	0.68	0.31	0.01	204	86
1987	0.05	0.69	0.24	0.02	222	94
1988	0.03	0.76	0.21	0	296	125
1989	0.32	0.56	0.12	0	123	52
1990	0.18	0.65	0.16	0.01	245	103
1991	0.11	0.79	0.1	0	426	180
1992	0.01	0.73	0.26	0	102	43
1993	0	0.87	0.13	0	33	14
1994	0.06	0.67	0.26	0.01	25	11
1995	0.06	0.67	0.26	0.01	25	11
1996	0.06	0.67	0.26	0.01	25	11
1997	0.38	0.49	0.13	0	165	70
1998	0.21	0.37	0.42	0	44	19
1999	0.25	0.59	0.16	0	132	56
2000	0.06	0.67	0.26	0.01	25	11
2001	0.06	0.67	0.26	0.01	25	11
2002	0.06	0.67	0.26	0.01	25	11
2003	0.07	0.59	0.33	0.01	224	94
2004	0.06	0.67	0.26	0.01	25	11
2005	0.25	0.61	0.14	0	61	26
2006	0.06	0.67	0.26	0.01	25	11
2007	0.28	0.3	0.37	0.05	137	58
2008	0.15	0.75	0.1	0	182	77
2009	0.04	0.6	0.35	0.01	203	86
2010	0.04	0.55	0.39	0.02	79	33
2011	0.09	0.68	0.23	0	81	34
2012	0.03	0.82	0.14	0.01	288	121
2013	0.07	0.52	0.39	0.02	330	139
2014	0.51	0.18	0.31	0	58	24
2015	0.02	0.92	0.06	0	125	53
2016	0.05	0.72	0.23	0	269	113
2017	0.06	0.67	0.26	0.01	25	11
