year,3,4,5,6,GoodData
1975,0.06,0.67,0.26,0.01,0
1976,0,0.46,0.54,0,1
1977,0.03,0.9,0.07,0,1
1978,0.02,0.57,0.4,0.01,1
1979,0.05,0.62,0.33,0,1
1980,0.06,0.79,0.15,0,1
1981,0.04,0.67,0.29,0,1
1982,0.02,0.65,0.33,0,1
1983,0.02,0.57,0.4,0.01,1
1984,0.04,0.62,0.34,0,1
1985,0,0.52,0.48,0,1
1986,0,0.69,0.3,0.01,1
1987,0.05,0.69,0.24,0.02,1
1988,0.03,0.76,0.21,0,1
1989,0.32,0.56,0.12,0,1
1990,0.18,0.65,0.17,0,1
1991,0.11,0.79,0.09,0.01,1
1992,0.01,0.73,0.26,0,1
1993,0.06,0.67,0.26,0.01,0
1994,0.06,0.67,0.26,0.01,0
1995,0.06,0.67,0.26,0.01,0
1996,0.06,0.67,0.26,0.01,0
1997,0.36,0.49,0.15,0,1
1998,0.06,0.66,0.28,0,0
1999,0.25,0.59,0.16,0,1
2000,0.06,0.67,0.26,0.01,0
2001,0.06,0.67,0.26,0.01,0
2002,0.06,0.67,0.26,0.01,0
2003,0.07,0.59,0.33,0.01,1
2004,0.06,0.67,0.26,0.01,0
2005,0.07,0.5,0.39,0.04,1
2006,0.02,0.77,0.19,0.02,1
2007,0.28,0.3,0.37,0.05,1
2008,0.15,0.75,0.1,0,1
2009,0.04,0.6,0.35,0.01,1
2010,0.04,0.56,0.38,0.02,1
2011,0.09,0.68,0.23,0,1
2012,0.03,0.82,0.14,0.01,1
2013,0.07,0.52,0.39,0.02,1
2014,0.51,0.18,0.31,0,1
2015,0.02,0.92,0.06,0,1
2016,0.05,0.72,0.23,0,1
2017,0.06,0.67,0.26,0.01,0
