year,Esc,TrueCount?
1975,45000,1
1976,30000,1
1977,30000,1
1978,20000,1
1979,18000,1
1980,24000,1
1981,40000,1
1982,20000,1
1983,25000,1
1984,45000,1
1985,50000,1
1986,19975,1
1987,30780,1
1988,30000,1
1989,15000,1
1990,20000,1
1991,52500,1
1992,41000,1
1993,15000,1
1994,25000,1
1995,55000,1
1996,45000,1
1997,20000,1
1998,30000,1
1999,25000,1
2000,15000,1
2001,30000,1
2002,50000,1
2003,18000,1
2004,25000,1
2005,6000,1
2006,6000,1
2007,1200,1
2008,900,1
2009,3500,1
2010,2300,1
2011,1500,1
2012,3000,1
2013,1500,1
2014,2500,1
2015,11194,0
2016,6940,0
2017,5224,0
