year,Harvest,TrueCount?,Alt_harvest
1975,58509,1,58509
1976,53633,1,53633
1977,43444,1,43885
1978,11074,1,11330
1979,48885,1,49136
1980,47127,1,47368
1981,45974,1,45974
1982,14055,1,14055
1983,36916,1,37087
1984,23717,1,23996
1985,41128,1,41465
1986,24437,1,24581
1987,39488,1,39757
1988,47041,1,47668
1989,14794,1,15000
1990,23174,1,23435
1991,31622,1,32290
1992,25820,1,26028
1993,14707,1,15174
1994,31266,1,31603
1995,21904,1,22341
1996,10026,1,10837
1997,10438,1,13000
1998,6126,1,6360
1999,2083,1,2195
2000,2860,0,3173
2001,2189,0,2488
2002,2999,0,3318
2003,4760,0,5026
2004,2035,0,2421
2005,742,0,828
2006,816,0,871
2007,423,0,423
2008,423,0,423
2009,1040,0,1040
2010,231,0,231
2011,323,0,323
2012,978,0,978
2013,686,0,686
2014,493,0,493
2015,784,0,784
2016,1314,0,1314
2017,501,0,501
