year	3	4	5	6	n	ESS
1975	NA	NA	NA	NA		25
1976	0	0.46	0.54	0	91	116
1977	0.03	0.9	0.07	0	195	220
1978	0.02	0.57	0.4	0.01	568	593
1979	0.05	0.62	0.33	0	173	198
1980	0.06	0.79	0.15	0	394	419
1981	0.04	0.67	0.29	0	151	176
1982	0.02	0.65	0.33	0	110	135
1983	0.02	0.56	0.41	0.01	148	173
1984	0.04	0.62	0.34	0	124	149
1985	0	0.52	0.48	0	213	238
1986	0	0.68	0.31	0.01	179	204
1987	0.05	0.69	0.24	0.02	197	222
1988	0.03	0.76	0.21	0	271	296
1989	0.32	0.56	0.12	0	98	123
1990	0.18	0.65	0.16	0.01	220	245
1991	0.11	0.79	0.1	0	401	426
1992	0.01	0.73	0.26	0	77	102
1993	0	0.87	0.13	0	8	33
1994	NA	NA	NA	NA		25
1995	NA	NA	NA	NA		25
1996	NA	NA	NA	NA		25
1997	0.38	0.49	0.13	0	140	165
1998	0.21	0.37	0.42	0	19	44
1999	0.25	0.59	0.16	0	107	132
2000	NA	NA	NA	NA		25
2001	NA	NA	NA	NA		25
2002	NA	NA	NA	NA		25
2003	0.07	0.59	0.33	0.01	199	224
2004	NA	NA	NA	NA		25
2005	0.25	0.61	0.14	0	36	61
2006	NA	NA	NA	NA		25
2007	0.28	0.3	0.37	0.05	112	137
2008	0.15	0.75	0.1	0	157	182
2009	0.04	0.6	0.35	0.01	178	203
2010	0.04	0.55	0.39	0.02	54	79
2011	0.09	0.68	0.23	0	56	81
2012	0.03	0.82	0.14	0.01	263	288
2013	0.07	0.52	0.39	0.02	305	330
2014	0.51	0.18	0.31	0	33	58
2015	0.02	0.92	0.06	0	100	125
2016	0.05	0.72	0.23	0	244	269
2017	NA	NA	NA	NA		25
